date,time,stock,alert_type,score,alert_price,followed_up
02-01-2026,15:47:36,SUZLON,BULLISH,0,54.63,FALSE
02-01-2026,15:47:37,RECLTD,BULLISH,0,383.3,FALSE
02-01-2026,15:47:38,ASHOKLEY,BULLISH,0,186.53,FALSE
02-01-2026,15:47:39,PFC,BULLISH,0,377.4,FALSE
02-01-2026,15:47:40,IREDA,BULLISH,0,147.51,FALSE
02-01-2026,15:52:09,BANKBARODA,BULLISH,0,307.5,FALSE
02-01-2026,15:58:28,IDEA,BULLISH,0,11.93,FALSE
02-01-2026,15:58:30,YESBANK,BULLISH,0,22.47,FALSE
02-01-2026,15:58:32,COALINDIA,BULLISH,0,432,FALSE
02-01-2026,15:58:33,BHEL,BULLISH,0,301.5,FALSE
02-01-2026,15:58:33,SUZLON,BULLISH,0,54.63,FALSE
02-01-2026,15:58:35,RECLTD,BULLISH,0,383.3,FALSE
02-01-2026,15:58:37,ASHOKLEY,BULLISH,0,186.53,FALSE
02-01-2026,15:58:38,PFC,BULLISH,0,377.4,FALSE
02-01-2026,15:58:39,BANKBARODA,BULLISH,0,307.5,FALSE
02-01-2026,15:58:41,IREDA,BULLISH,0,147.51,FALSE
01-01-2026,15:05:48,IDEA,BULLISH,0,11.57,TRUE
01-01-2026,15:05:54,ASHOKLEY,BULLISH,0,182.03,FALSE
01-01-2026,15:05:59,RECLTD,BULLISH,0,367.8,FALSE
01-01-2026,15:06:02,INDUSTOWER,BULLISH,0,437.25,FALSE
01-01-2026,15:06:03,GMRAIRPORT,BULLISH,0,106.3,FALSE
01-01-2026,15:06:07,BHEL,BULLISH,0,292.5,FALSE
01-01-2026,15:06:10,MOTHERSON,BULLISH,0,123.3,FALSE
01-01-2026,15:06:11,BANKBARODA,BULLISH,0,302.25,FALSE
01-01-2026,15:19:49,PFC,BULLISH,0,364.8,FALSE
01-01-2026,15:23:30,IDEA,BULLISH,0,11.77,TRUE
01-01-2026,15:23:31,ASHOKLEY,BULLISH,0,182.1,FALSE
01-01-2026,15:23:32,RECLTD,BULLISH,0,368.95,FALSE
01-01-2026,15:23:35,INDUSTOWER,BULLISH,0,438.75,FALSE
01-01-2026,15:23:43,GMRAIRPORT,BULLISH,0,106.08,FALSE
01-01-2026,15:23:45,MOTHERSON,BULLISH,0,123.4,FALSE
01-01-2026,15:23:55,BHEL,BULLISH,0,293.6,FALSE
01-01-2026,15:23:56,PFC,BULLISH,0,364.95,FALSE
